"","subject_ID","activity_code","tBodyAcc-mean()-X","tBodyAcc-mean()-Z","tBodyAcc-std()-X","tBodyAcc-std()-Z","tGravityAcc-mean()-X","tGravityAcc-mean()-Z","tGravityAcc-std()-X","tGravityAcc-std()-Z","tBodyAccJerk-mean()-X","tBodyAccJerk-mean()-Z","tBodyAccJerk-std()-X","tBodyAccJerk-std()-Z","tBodyGyro-mean()-X","tBodyGyro-mean()-Z","tBodyGyro-std()-X","tBodyGyro-std()-Z","tBodyGyroJerk-mean()-X","tBodyGyroJerk-mean()-Z","tBodyGyroJerk-std()-X","tBodyGyroJerk-std()-Z","tBodyAccMag-mean()","tBodyAccMag-std()","tBodyAccJerkMag-mean()","tBodyAccJerkMag-std()","tBodyGyroJerkMag-mean()","tBodyGyroJerkMag-std()","fBodyAcc-mean()-Y","fBodyAcc-std()-Y","fBodyAcc-meanFreq()-Y","fBodyAccJerk-mean()-X","fBodyAccJerk-mean()-Z","fBodyAccJerk-std()-X","fBodyAccJerk-std()-Z","fBodyAccJerk-meanFreq()-X","fBodyAccJerk-meanFreq()-Z","fBodyGyro-mean()-Y","fBodyGyro-std()-Y","fBodyGyro-meanFreq()-Y","fBodyAccMag-mean()","fBodyAccMag-std()","fBodyAccMag-meanFreq()","fBodyBodyGyroMag-mean()","fBodyBodyGyroMag-std()","fBodyBodyGyroMag-meanFreq()"
"56",2,6,0.17376905,-0.094733441,-0.8938616,-0.96082431,-0.69553313,0.67577988,-0.79814709,-0.9808685,0.14824513,-0.0099643768,-0.91683397,-0.96825575,-0.0023142606,0.28917439,-0.95270527,-0.8861205,-0.1061418,-0.073149089,-0.96026856,-0.90528924,-0.91669749,-0.8434728,-0.95122949,-0.90596974,-0.95467236,-0.91441714,-0.93993626,-0.94912119,0.10275943,-0.92166437,-0.96271005,-0.91897449,-0.9726107,-0.1605417,-0.089458262,-0.92403925,-0.93346553,0.02255863,-0.86122749,-0.85730185,-0.17696391,-0.89283142,-0.86493819,-0.24721644
"57",2,6,0.3009048,-0.096890735,-0.98681212,-0.9869338,-0.72762928,0.68079188,-0.97539016,-0.97649265,0.084172767,-0.0088533945,-0.98356356,-0.98975629,-0.031533371,0.15656219,-0.98720614,-0.94152353,-0.098648269,-0.098258239,-0.98611208,-0.98367508,-0.98122621,-0.97908161,-0.98586535,-0.98640829,-0.98654648,-0.9883955,-0.97597165,-0.97476722,-0.033292597,-0.98286485,-0.98779743,-0.98593862,-0.99028732,0.1059467,0.08628947,-0.95693298,-0.94804454,-0.069338384,-0.9798187,-0.98075362,0.06306111,-0.9398944,-0.91990834,-0.13540755
"58",2,6,0.28567994,-0.099788959,-0.98882456,-0.99850164,-0.72085621,0.68526411,-0.97869812,-0.98917087,0.059172424,0.003382057,-0.98741145,-0.99473185,-0.039082748,0.079899406,-0.99495801,-0.97196367,-0.1007216,-0.073474108,-0.99422339,-0.98924489,-0.99088456,-0.99348713,-0.99101218,-0.99410948,-0.99178625,-0.99208639,-0.98703306,-0.99155107,0.38730134,-0.98684333,-0.99427157,-0.98927593,-0.99359725,0.13715023,0.28854815,-0.97738939,-0.96801689,-0.26214884,-0.99197665,-0.99485329,0.50459984,-0.97713959,-0.96493965,-0.15353401
"59",2,6,0.27205902,-0.10063642,-0.99521892,-0.99657104,-0.71824729,0.68862349,-0.99439039,-0.98558872,0.076035903,-0.007992728,-0.99049702,-0.99442248,-0.035839184,0.059131448,-0.99576698,-0.99737727,-0.095766701,-0.051629454,-0.99705713,-0.99530303,-0.99461891,-0.99580527,-0.99381926,-0.994684,-0.99527188,-0.9946964,-0.99099548,-0.99192504,0.14965928,-0.99009077,-0.99366124,-0.99187077,-0.99362662,0.41202942,0.21666324,-0.98824826,-0.98825233,0.13428448,-0.99570482,-0.99565194,0.46407627,-0.99449861,-0.99323569,0.21623503
"60",2,6,0.27631974,-0.10385552,-0.99576459,-0.9942946,-0.71982373,0.69142117,-0.99750135,-0.99334447,0.083713455,-0.0058181692,-0.99257405,-0.9947109,-0.03070443,0.064112225,-0.99802023,-0.99529468,-0.095886296,-0.049878664,-0.9961178,-0.9933751,-0.99755985,-0.99606864,-0.99553935,-0.99559462,-0.99514057,-0.99643388,-0.99446,-0.99551165,0.16716417,-0.99232598,-0.99215369,-0.99354834,-0.99624862,0.29971456,0.25953004,-0.99494675,-0.99681742,0.62572574,-0.99559954,-0.99619873,0.44747309,-0.99524502,-0.99646745,0.38401151
"61",2,6,0.27869543,-0.10511841,-0.99746842,-0.99334269,-0.72009525,0.69318963,-0.99941554,-0.9931461,0.075670506,0.0077829162,-0.99467264,-0.99288006,-0.02852509,0.07397583,-0.998612,-0.99530842,-0.097260231,-0.053067421,-0.9959825,-0.9938778,-0.99893571,-0.9961654,-0.99495126,-0.99610907,-0.99624462,-0.9976173,-0.99584843,-0.99921236,0.53682537,-0.99520942,-0.99014194,-0.99447257,-0.99456085,0.33686283,0.30764334,-0.99655775,-0.99758304,0.42283349,-0.99595286,-0.99606117,0.54836422,-0.99511318,-0.99588275,0.26666972
"62",2,6,0.28026202,-0.10968549,-0.99612342,-0.99196657,-0.71981933,0.69418107,-0.99949955,-0.99584669,0.083126265,0.0037197928,-0.99359223,-0.99192484,-0.026875752,0.083337246,-0.99826399,-0.99630527,-0.097186163,-0.049661825,-0.99595308,-0.99627299,-0.99762785,-0.99597466,-0.99374906,-0.99607895,-0.99711144,-0.99860291,-0.99577759,-0.99859501,0.45724947,-0.99335427,-0.9895632,-0.99446627,-0.99304061,0.26114666,0.26504014,-0.99627738,-0.99691129,0.35946496,-0.99500693,-0.99660012,0.58975244,-0.99657987,-0.99727934,0.41889338
"63",2,6,0.29238966,-0.11487816,-0.99280911,-0.99202521,-0.71847033,0.69341273,-0.99218778,-0.99388791,0.081997015,0.0073997541,-0.99349931,-0.99263375,-0.024763532,0.0937767,-0.99796997,-0.99495438,-0.096593835,-0.050572781,-0.99591716,-0.99533192,-0.9914538,-0.99426977,-0.99399789,-0.9957322,-0.99670883,-0.99771084,-0.99165914,-0.99027389,0.1573608,-0.99369972,-0.99046314,-0.99381551,-0.99352037,0.27977652,0.22704739,-0.99635947,-0.99835506,0.46958733,-0.99397873,-0.99446875,0.34075098,-0.99729607,-0.99751325,0.45268152
"64",2,6,0.29089459,-0.11315576,-0.98930153,-0.99122081,-0.71309112,0.6912159,-0.97917626,-0.99004222,0.06159483,-0.0068951122,-0.99356918,-0.98986931,-0.027288741,0.083183671,-0.99598275,-0.98418102,-0.10012442,-0.061962697,-0.99700019,-0.99216003,-0.98920966,-0.9943943,-0.99307567,-0.99410028,-0.9967011,-0.99691094,-0.9918902,-0.98988326,0.046742725,-0.99318004,-0.98991309,-0.99465701,-0.98815181,0.14670809,0.17121495,-0.9967507,-0.99837145,0.41680561,-0.9938574,-0.99479161,0.37780741,-0.99503331,-0.99567469,0.2946896
"65",2,6,0.27191593,-0.10278027,-0.99074021,-0.99000242,-0.70914868,0.68994861,-0.9903629,-0.99340721,0.070519824,-0.012536393,-0.9952761,-0.99051871,-0.029765371,0.078529226,-0.99545996,-0.9856536,-0.098793364,-0.054256847,-0.99632845,-0.99108927,-0.99040175,-0.99508494,-0.99424052,-0.99495541,-0.99617884,-0.99689851,-0.99126868,-0.98511487,-0.011136631,-0.99487743,-0.98845394,-0.99623489,-0.99120076,0.23062648,0.23165312,-0.99674375,-0.99762499,0.21573152,-0.994644,-0.99530731,0.42623947,-0.99456117,-0.99496755,0.3110773
