"","subject_ID","activity_code","tBodyAcc-mean()-X","tBodyAcc-mean()-Z","tBodyAcc-std()-X","tBodyAcc-std()-Z","tGravityAcc-mean()-X","tGravityAcc-mean()-Z","tGravityAcc-std()-X","tGravityAcc-std()-Z","tBodyAccJerk-mean()-X","tBodyAccJerk-mean()-Z","tBodyAccJerk-std()-X","tBodyAccJerk-std()-Z","tBodyGyro-mean()-X","tBodyGyro-mean()-Z","tBodyGyro-std()-X","tBodyGyro-std()-Z","tBodyGyroJerk-mean()-X","tBodyGyroJerk-mean()-Z","tBodyGyroJerk-std()-X","tBodyGyroJerk-std()-Z","tBodyAccMag-mean()","tBodyAccMag-std()","tBodyAccJerkMag-mean()","tBodyAccJerkMag-std()","tBodyGyroJerkMag-mean()","tBodyGyroJerkMag-std()","fBodyAcc-mean()-Y","fBodyAcc-std()-Y","fBodyAcc-meanFreq()-Y","fBodyAccJerk-mean()-X","fBodyAccJerk-mean()-Z","fBodyAccJerk-std()-X","fBodyAccJerk-std()-Z","fBodyAccJerk-meanFreq()-X","fBodyAccJerk-meanFreq()-Z","fBodyGyro-mean()-Y","fBodyGyro-std()-Y","fBodyGyro-meanFreq()-Y","fBodyAccMag-mean()","fBodyAccMag-std()","fBodyAccMag-meanFreq()","fBodyBodyGyroMag-mean()","fBodyBodyGyroMag-std()","fBodyBodyGyroMag-meanFreq()"
"32",2,4,0.29648714,-0.13980848,-0.98771367,-0.94105035,0.95201324,0.17324768,-0.97442821,-0.9336702,0.074167624,-0.00057513147,-0.98766148,-0.98048751,-0.050171548,0.1837903,-0.98222253,-0.92994218,-0.092742071,-0.11955963,-0.97836982,-0.9740108,-0.92873856,-0.89838027,-0.97766739,-0.96574161,-0.98480912,-0.97945377,-0.8594018,-0.83148234,0.078754108,-0.98622758,-0.97477076,-0.99073206,-0.98561403,0.57232463,0.21894857,-0.96180088,-0.95706297,-0.26365587,-0.89882048,-0.91278824,-0.017194091,-0.93493886,-0.93622448,-0.026011014
"33",2,4,0.27723542,-0.11843072,-0.99639048,-0.96541011,0.95776214,0.16651548,-0.99215769,-0.94772651,0.074857362,0.0039751972,-0.99582259,-0.99165507,-0.039016643,0.12573995,-0.98842257,-0.97940389,-0.091881126,-0.058000018,-0.99410926,-0.99132934,-0.97803564,-0.96122618,-0.99261266,-0.99290606,-0.99553914,-0.99584933,-0.96836119,-0.94762416,0.021026483,-0.99603991,-0.98933917,-0.99590413,-0.99269849,0.3336439,-0.009154006,-0.99180531,-0.98956589,-0.098528311,-0.97794345,-0.95814272,-0.23399359,-0.98717791,-0.97499907,-0.33202139
"34",2,4,0.2782907,-0.10524253,-0.99678611,-0.98950215,0.95789199,0.16163958,-0.99692667,-0.99292938,0.079741234,-0.0048041466,-0.99516755,-0.99135946,-0.026046816,0.10043377,-0.99622773,-0.97976111,-0.093176759,-0.075882607,-0.99541364,-0.99464282,-0.99438865,-0.99413634,-0.99367703,-0.99497726,-0.99750587,-0.9979514,-0.9888814,-0.98774016,0.11371728,-0.99555241,-0.99008349,-0.99510381,-0.99110894,0.34272767,-0.065361354,-0.99616662,-0.99578993,-0.068290986,-0.99412375,-0.99408438,0.41752324,-0.99171515,-0.9896325,0.042048606
"35",2,4,0.27815992,-0.09927102,-0.99697493,-0.987355,0.95792518,0.16376124,-0.998006,-0.9901987,0.07369633,0.0058232317,-0.9950484,-0.9912641,-0.022931403,0.078673144,-0.99632265,-0.95701458,-0.097484223,-0.056642047,-0.99567836,-0.98807403,-0.98452293,-0.97430484,-0.99209242,-0.99408178,-0.99558278,-0.99481506,-0.97582987,-0.95736278,-0.39423884,-0.99487962,-0.99101005,-0.99570456,-0.98986799,0.29696674,0.2020249,-0.98965884,-0.98153076,-0.62368135,-0.98361921,-0.97224027,-0.18346497,-0.98358715,-0.96894977,-0.5552391
"36",2,4,0.27664638,-0.104754,-0.99726953,-0.98114499,0.95832834,0.16680067,-0.99939896,-0.98544416,0.075933689,-0.0051785599,-0.99392769,-0.99182512,-0.025679464,0.083575679,-0.99393599,-0.95464749,-0.10158671,-0.025882513,-0.99040851,-0.98506173,-0.98197129,-0.97653588,-0.98891135,-0.99043645,-0.99205801,-0.99310443,-0.96857414,-0.96493071,-0.037309672,-0.99393513,-0.98993092,-0.99445018,-0.99232967,0.3610086,0.20066632,-0.98548212,-0.98065277,-0.4126584,-0.98228846,-0.97579019,-0.026131331,-0.98190869,-0.9720847,-0.31863308
"37",2,4,0.27829493,-0.11591945,-0.99724431,-0.98613179,0.95832272,0.16759019,-0.99952115,-0.99196495,0.077460728,-0.0099158808,-0.99287631,-0.99132841,-0.025950876,0.096736383,-0.99500391,-0.97191748,-0.10026854,-0.060497451,-0.99034158,-0.98445627,-0.98594601,-0.98682484,-0.98786737,-0.99004233,-0.99116242,-0.99358288,-0.97162389,-0.96808848,0.17172662,-0.99271793,-0.9882201,-0.99371017,-0.99343261,0.36413162,0.028980726,-0.98669587,-0.9820791,-0.29962008,-0.98545244,-0.98886268,0.2731637,-0.98767771,-0.9840637,-0.13864375
"38",2,4,0.27505303,-0.10589705,-0.99525842,-0.98360641,0.95841903,0.1660208,-0.99888949,-0.99596864,0.074694506,0.013952444,-0.99061035,-0.99141782,-0.025511187,0.091317208,-0.99623625,-0.97392163,-0.097799765,-0.061549315,-0.99416578,-0.98593569,-0.98590459,-0.98664528,-0.98944283,-0.99158858,-0.99301191,-0.9946828,-0.97558322,-0.97070587,-0.079075255,-0.99073306,-0.98866345,-0.99128756,-0.99303145,0.30852394,0.15750415,-0.98894119,-0.98146948,-0.49465245,-0.98693338,-0.98747473,0.20254736,-0.98667306,-0.9847835,-0.13687379
"39",2,4,0.27486428,-0.097528302,-0.99623776,-0.989707,0.95761533,0.16733906,-0.99595146,-0.98683224,0.075529732,0.011850313,-0.99227354,-0.98957602,-0.028197612,0.081141936,-0.9966929,-0.98393993,-0.097361152,-0.050056318,-0.99552817,-0.99134481,-0.99193129,-0.99193657,-0.99056259,-0.9918432,-0.995537,-0.9963504,-0.98434635,-0.98775314,0.2548988,-0.99254583,-0.98789193,-0.99261238,-0.98977159,0.41203419,0.043899011,-0.99072003,-0.98692611,-0.2438421,-0.99094948,-0.99300967,0.4822956,-0.99115097,-0.98984191,-0.10597187
"40",2,4,0.27871074,-0.10524076,-0.99859653,-0.98746213,0.95685371,0.17076173,-0.99854623,-0.98719726,0.075792868,-0.0046005261,-0.99673138,-0.98935414,-0.027541794,0.080225072,-0.99633885,-0.98681453,-0.099417698,-0.060352158,-0.99489164,-0.99201559,-0.99505048,-0.99470667,-0.99335333,-0.99292018,-0.99566519,-0.99623914,-0.98925984,-0.99096689,0.069780723,-0.99663791,-0.98855592,-0.99713983,-0.98853141,0.36024909,0.14508436,-0.99250153,-0.98720252,-0.33030671,-0.99362136,-0.99556168,0.43515994,-0.99271841,-0.99266443,-0.001350191
"41",2,4,0.27822455,-0.1075716,-0.99822604,-0.98923957,0.95709207,0.17216278,-0.99865366,-0.99630003,0.076381493,-0.00018746671,-0.99810136,-0.99254022,-0.027905922,0.084110903,-0.99598121,-0.99012716,-0.098601087,-0.052897202,-0.9935933,-0.99302309,-0.99569559,-0.99544433,-0.99524339,-0.99414257,-0.99593913,-0.99611078,-0.98971949,-0.99033198,0.25894396,-0.99779481,-0.99160133,-0.99869875,-0.99191867,0.45381968,0.051763993,-0.99339422,-0.99043431,-0.31277519,-0.99433423,-0.99622836,0.56371159,-0.9933618,-0.99270128,-0.041489584
"42",2,4,0.27625455,-0.10885324,-0.99639413,-0.98354536,0.957125,0.17257908,-0.99902145,-0.99413399,0.077142483,-0.0013815426,-0.99658085,-0.99069383,-0.028386406,0.084448765,-0.99441796,-0.98331636,-0.095803874,-0.050073195,-0.993369,-0.99094466,-0.99231876,-0.99087672,-0.9921557,-0.9925433,-0.99491005,-0.99348714,-0.98289752,-0.98714547,0.30661978,-0.99641164,-0.98815825,-0.99710634,-0.99198694,0.13406993,0.130854,-0.98983461,-0.98841329,-0.160007,-0.98949844,-0.99239429,0.33871326,-0.98899962,-0.9853784,-0.28776469
"43",2,4,0.27574674,-0.10505767,-0.99581447,-0.9819142,0.9567784,0.17243002,-0.99838027,-0.99311082,0.076351845,0.001419995,-0.99383983,-0.99254104,-0.02833208,0.085722107,-0.99104087,-0.97696868,-0.096556649,-0.048712881,-0.99111869,-0.98664924,-0.99053425,-0.98890189,-0.99245307,-0.99212445,-0.99231034,-0.99203913,-0.98216681,-0.98264843,0.085163206,-0.99369864,-0.99126792,-0.99456549,-0.99231107,0.22852095,-0.0091442104,-0.98772073,-0.98542135,-0.31636559,-0.98970154,-0.98904718,0.074225182,-0.98597966,-0.98465863,-0.15099801
"44",2,4,0.28028279,-0.10932156,-0.99531257,-0.97892176,0.95656471,0.17319654,-0.99757762,-0.98846658,0.077208833,-0.00073970854,-0.99278339,-0.99591241,-0.026969226,0.089479676,-0.99222869,-0.97828727,-0.10128222,-0.059640136,-0.99313152,-0.98852767,-0.98713678,-0.98765605,-0.9939029,-0.99209187,-0.99443061,-0.99323111,-0.97860667,-0.97397802,0.1696924,-0.99238299,-0.99447997,-0.99395244,-0.99597365,0.32303758,0.14000153,-0.98920517,-0.98282283,-0.46915066,-0.99041719,-0.98676218,0.096672265,-0.98743189,-0.98547547,-0.1651583
"45",2,4,0.28540286,-0.16984868,-0.95371281,-0.78706775,0.97078586,0.070036345,-0.91948606,-0.74690999,0.056061067,0.11850025,-0.95368813,-0.97086316,-0.2445337,-0.41735088,-0.9329845,-0.84072691,-0.059146721,0.049935806,-0.9724896,-0.9674775,-0.87722004,-0.83813635,-0.95780326,-0.95308411,-0.97639756,-0.97993471,-0.88078397,-0.86037139,0.067045998,-0.95315437,-0.96500137,-0.95855696,-0.9757051,0.38759486,0.14591836,-0.96373167,-0.94784815,-0.39882558,-0.86276586,-0.84956542,-0.18614639,-0.87646103,-0.82222822,-0.19977846
"46",2,4,0.27047249,-0.095150167,-0.98563184,-0.94366406,0.97523081,0.04680685,-0.9759878,-0.95667189,0.078423432,0.006568441,-0.9774202,-0.98773552,-0.14713738,-0.16525629,-0.93954559,-0.85682435,-0.058538154,0.02175631,-0.99074421,-0.98532363,-0.95395093,-0.94777267,-0.98480154,-0.97888194,-0.99015082,-0.98935188,-0.94812629,-0.90128041,0.07492851,-0.97687083,-0.98470343,-0.98014564,-0.98955748,0.44026298,0.20939297,-0.96751053,-0.94698234,-0.50086744,-0.9682697,-0.94510476,-0.19719824,-0.88877193,-0.8228991,-0.29192009
"47",2,4,0.28022445,-0.12428498,-0.99664261,-0.98747869,0.97188567,0.050809506,-0.99583498,-0.97859934,0.082323028,-0.016392014,-0.99289105,-0.99372502,-0.071616512,0.016180468,-0.95964544,-0.94393931,-0.068334522,-0.020184879,-0.99637572,-0.98987307,-0.98179163,-0.98638468,-0.9934728,-0.99399259,-0.99428762,-0.99517906,-0.98269067,-0.97341005,-0.10700841,-0.99290684,-0.99214583,-0.99349505,-0.993899,0.23977073,0.30959227,-0.98951392,-0.98823584,-0.014995615,-0.98955812,-0.98545405,0.066218075,-0.95014613,-0.91678415,-0.26057839
"48",2,4,0.27724091,-0.12039377,-0.99512799,-0.98904192,0.97291478,0.0453806,-0.99880018,-0.97180417,0.075848405,-0.00046564644,-0.98752889,-0.9900962,-0.029355164,0.089804957,-0.98336831,-0.97755762,-0.086298193,-0.031678018,-0.99508865,-0.98345132,-0.99140977,-0.99004513,-0.98918771,-0.98984237,-0.99239408,-0.99234138,-0.98292608,-0.98949055,0.49804318,-0.98760351,-0.98659429,-0.9885433,-0.99266882,0.51269813,0.42797871,-0.9897405,-0.98900477,-0.18136339,-0.98838421,-0.99189473,0.46021949,-0.98938695,-0.98406908,-0.03665947
"49",2,4,0.27925474,-0.11526539,-0.98482887,-0.96316567,0.97305475,0.04091304,-0.9997964,-0.99196828,0.065939902,-0.0011348123,-0.97442851,-0.97887286,-0.015577629,0.11290142,-0.98529386,-0.96851285,-0.10223895,-0.066284827,-0.98168542,-0.97033997,-0.97881153,-0.96695181,-0.97656492,-0.97784271,-0.98248196,-0.98013625,-0.96885883,-0.96964096,-0.097625148,-0.97542342,-0.97342075,-0.97555959,-0.9835313,0.0038394099,0.021849958,-0.96675823,-0.95926363,-0.46644004,-0.97006626,-0.96910415,-0.0085596112,-0.97193036,-0.96380576,-0.093511378
"50",2,4,0.27981772,-0.11320248,-0.98493079,-0.96438621,0.97327809,0.038872702,-0.99902909,-0.98913861,0.07463448,0.0079791098,-0.97657193,-0.98131878,-0.016789285,0.12788896,-0.98366942,-0.95371276,-0.10379423,-0.048389537,-0.97966344,-0.96994518,-0.97556248,-0.96792516,-0.9776169,-0.97886575,-0.97948948,-0.98272116,-0.95617248,-0.96246688,0.43750009,-0.9786664,-0.97660686,-0.97629487,-0.98508327,0.10569005,0.087181213,-0.96593976,-0.95667916,-0.48500761,-0.97162213,-0.96958959,0.0025861535,-0.97140559,-0.97149538,-0.058303568
"51",2,4,0.27579491,-0.10983325,-0.99417869,-0.99348617,0.9737383,0.036339561,-0.99904087,-0.98956689,0.08228413,0.008195098,-0.99085772,-0.99150591,-0.021958268,0.12529715,-0.99170116,-0.95751786,-0.096185116,-0.045396181,-0.99074957,-0.98315551,-0.9675803,-0.96349439,-0.98985561,-0.99203915,-0.98970626,-0.99140006,-0.95948372,-0.91939539,-0.3513728,-0.99084712,-0.98880717,-0.99168059,-0.99304988,0.1252848,0.31806858,-0.98400102,-0.98099775,-0.07833151,-0.97898403,-0.96055103,-0.33081307,-0.97948573,-0.97733627,-0.063826605
"52",2,4,0.27379132,-0.10724671,-0.99483845,-0.98929992,0.9733727,0.03520866,-0.99671867,-0.99570813,0.075690948,0.0010182271,-0.99065783,-0.99237329,-0.025688285,0.091985955,-0.99661203,-0.96992626,-0.096574607,-0.071298218,-0.99574817,-0.98880585,-0.96613087,-0.9669498,-0.99170127,-0.99479507,-0.99455097,-0.99536808,-0.96548601,-0.94380817,0.051129643,-0.99062885,-0.99095181,-0.99152232,-0.99231789,0.21244645,0.087203184,-0.98985867,-0.98573146,-0.23925397,-0.98149522,-0.96388178,-0.081239812,-0.98883643,-0.98696526,-0.011558579
