"","subject_ID","activity_code","tBodyAcc-mean()-X","tBodyAcc-mean()-Z","tBodyAcc-std()-X","tBodyAcc-std()-Z","tGravityAcc-mean()-X","tGravityAcc-mean()-Z","tGravityAcc-std()-X","tGravityAcc-std()-Z","tBodyAccJerk-mean()-X","tBodyAccJerk-mean()-Z","tBodyAccJerk-std()-X","tBodyAccJerk-std()-Z","tBodyGyro-mean()-X","tBodyGyro-mean()-Z","tBodyGyro-std()-X","tBodyGyro-std()-Z","tBodyGyroJerk-mean()-X","tBodyGyroJerk-mean()-Z","tBodyGyroJerk-std()-X","tBodyGyroJerk-std()-Z","tBodyAccMag-mean()","tBodyAccMag-std()","tBodyAccJerkMag-mean()","tBodyAccJerkMag-std()","tBodyGyroJerkMag-mean()","tBodyGyroJerkMag-std()","fBodyAcc-mean()-Y","fBodyAcc-std()-Y","fBodyAcc-meanFreq()-Y","fBodyAccJerk-mean()-X","fBodyAccJerk-mean()-Z","fBodyAccJerk-std()-X","fBodyAccJerk-std()-Z","fBodyAccJerk-meanFreq()-X","fBodyAccJerk-meanFreq()-Z","fBodyGyro-mean()-Y","fBodyGyro-std()-Y","fBodyGyro-meanFreq()-Y","fBodyAccMag-mean()","fBodyAccMag-std()","fBodyAccMag-meanFreq()","fBodyBodyGyroMag-mean()","fBodyBodyGyroMag-std()","fBodyBodyGyroMag-meanFreq()"
"1",2,5,0.25717778,-0.014653762,-0.938404,-0.66768331,0.93648925,0.11528825,-0.92542727,-0.56428842,0.072046007,-0.10604266,-0.90668276,-0.93593583,0.11997616,0.18962854,-0.88308911,-0.94088123,-0.20489621,-0.09338934,-0.90122415,-0.93925042,-0.86692938,-0.70519112,-0.92976655,-0.89599425,-0.92519489,-0.89434361,-0.91821319,-0.92513687,0.12125069,-0.89963316,-0.9235514,-0.92442913,-0.94789152,0.45100539,-0.18029913,-0.80791598,-0.822677,-0.059322857,-0.79094643,-0.711074,-0.48345254,-0.77061,-0.79711285,-0.047391298
"2",2,5,0.28602671,-0.11908252,-0.97541469,-0.94495817,0.92740359,0.15256831,-0.98905711,-0.96478113,0.070180689,-0.0017206291,-0.94920395,-0.9777267,-0.0015524629,0.18070522,-0.92556647,-0.96758097,-0.13866849,-0.071418405,-0.96230415,-0.98134077,-0.96896136,-0.95390243,-0.97371675,-0.94100781,-0.97339341,-0.94409,-0.96443332,-0.97017476,0.17454676,-0.94351902,-0.97344886,-0.9616312,-0.9807873,0.47285157,-0.24311457,-0.92649565,-0.93201069,-0.22726634,-0.95412665,-0.95974581,0.20346524,-0.92446082,-0.91677415,-0.031473918
"3",2,5,0.27548482,-0.11815167,-0.99381904,-0.96274798,0.92991503,0.14608559,-0.9959365,-0.98157964,0.069367784,-0.013672983,-0.9910699,-0.97286744,-0.048212671,0.15417437,-0.97298823,-0.97564834,-0.097809669,-0.060028399,-0.98416694,-0.97618761,-0.97622817,-0.97908345,-0.98161775,-0.97137104,-0.98674805,-0.98440146,-0.96503362,-0.97369585,0.13345831,-0.99102948,-0.97170298,-0.99191217,-0.97232221,0.27074412,-0.082492336,-0.98083326,-0.97719446,-0.21008368,-0.97564966,-0.98378426,0.34245571,-0.97520949,-0.97399836,-0.16880542
"4",2,5,0.27029822,-0.11752018,-0.99474279,-0.96709068,0.92888137,0.14292592,-0.99313918,-0.99159167,0.074852891,0.012141275,-0.99080161,-0.97592527,-0.056641577,0.11833718,-0.96779046,-0.9632327,-0.10223178,-0.053436499,-0.98417089,-0.98072396,-0.9743245,-0.97701589,-0.98271214,-0.97480746,-0.98882036,-0.9855681,-0.9682839,-0.97691756,0.26171975,-0.99053617,-0.97033741,-0.99195996,-0.98062113,0.27733393,0.021813014,-0.98134496,-0.97190942,-0.4999058,-0.97339313,-0.98211956,0.3312055,-0.97629733,-0.97124817,-0.28563574
"5",2,5,0.27483295,-0.12952716,-0.99385248,-0.97829499,0.92659966,0.13830674,-0.99557462,-0.96808532,0.078376795,0.0027484994,-0.99207239,-0.98661202,-0.059992128,0.078659262,-0.97465605,-0.96762872,-0.091849944,-0.061235354,-0.98847382,-0.9819836,-0.97583556,-0.97689339,-0.98690794,-0.98885394,-0.99006205,-0.99041891,-0.96920715,-0.96746811,-0.009980057,-0.99148001,-0.98349302,-0.99357091,-0.98850332,0.18027241,0.10085294,-0.98040426,-0.9765654,-0.27813128,-0.97773896,-0.9788381,0.071111544,-0.97700701,-0.96961934,-0.34906064
"6",2,5,0.27921995,-0.11390197,-0.99445523,-0.96531629,0.92566317,0.1305608,-0.99884225,-0.97123186,0.075980393,0.0082080614,-0.99383436,-0.98760636,-0.039697949,0.070547316,-0.97987841,-0.96346168,-0.092739553,-0.072575489,-0.98941668,-0.97777944,-0.98171632,-0.97770393,-0.98733569,-0.99199699,-0.9878482,-0.98904283,-0.97072928,-0.97101596,-0.12255647,-0.99377593,-0.98609861,-0.99445136,-0.98755691,0.079174855,-0.11027662,-0.98052611,-0.97424691,-0.33338449,-0.9780025,-0.97987556,-0.043454815,-0.97703453,-0.97505133,-0.17703141
"7",2,5,0.27974586,-0.10399988,-0.99581919,-0.97772468,0.92613663,0.12856658,-0.9974362,-0.98820362,0.074134632,-0.0073042715,-0.99422833,-0.98777624,-0.03287449,0.080700108,-0.98963172,-0.97276516,-0.097085158,-0.05067998,-0.99029738,-0.98408092,-0.987652,-0.98527343,-0.98932893,-0.99233376,-0.99111713,-0.99178348,-0.97555993,-0.97718677,-0.068390496,-0.99483891,-0.98671314,-0.99398294,-0.9872289,0.27669875,-0.23270748,-0.98654614,-0.98233966,-0.23848159,-0.98419804,-0.98728087,0.096388225,-0.98385918,-0.98058137,-0.1177451
"8",2,5,0.27460055,-0.11683085,-0.99559442,-0.98526237,0.92658621,0.12958012,-0.99739076,-0.98979864,0.076194451,0.005193806,-0.9947049,-0.99154634,-0.028869854,0.087116675,-0.99434551,-0.98984746,-0.095570872,-0.043546352,-0.99173311,-0.99363268,-0.98693665,-0.99075599,-0.99314688,-0.99407416,-0.99557708,-0.99592397,-0.98208507,-0.98207814,0.15450862,-0.99441341,-0.98945989,-0.99555608,-0.99229145,0.33512688,-0.1671075,-0.99322434,-0.99190954,-0.019932467,-0.99134903,-0.9907674,0.13195004,-0.99093371,-0.99388069,0.39563629
"9",2,5,0.27252874,-0.11447249,-0.99678413,-0.98659699,0.92555526,0.12642607,-0.99514632,-0.98127764,0.079175213,0.0020811765,-0.99554308,-0.99328658,-0.024364328,0.077032498,-0.99678549,-0.99298656,-0.097698066,-0.06105549,-0.99447485,-0.99728901,-0.98844633,-0.9916242,-0.99389244,-0.99733962,-0.99734041,-0.99752463,-0.9800731,-0.97423105,0.00017884759,-0.99622392,-0.9929513,-0.99509637,-0.99199541,0.22106657,0.1035574,-0.99573837,-0.99496121,-0.1058257,-0.99355556,-0.9906142,0.11890315,-0.99587319,-0.99551314,0.082495727
"10",2,5,0.2757457,-0.09977589,-0.99837313,-0.9910219,0.92417336,0.1245839,-0.99800172,-0.99196835,0.077145726,0.011466155,-0.99636877,-0.99279344,-0.022462359,0.076694399,-0.99639305,-0.99089631,-0.10162951,-0.049140975,-0.99556353,-0.99443854,-0.99135299,-0.99320918,-0.99393494,-0.99870789,-0.99612756,-0.99741842,-0.98683408,-0.98669452,0.14119469,-0.99590468,-0.99201704,-0.9973335,-0.99198951,0.41521809,0.1899222,-0.99381065,-0.99315328,-0.070266118,-0.99369338,-0.99294329,0.18582523,-0.99589683,-0.99632481,0.18641558
