"","subject_ID","activity_code","tBodyAcc-mean()-X","tBodyAcc-mean()-Z","tBodyAcc-std()-X","tBodyAcc-std()-Z","tGravityAcc-mean()-X","tGravityAcc-mean()-Z","tGravityAcc-std()-X","tGravityAcc-std()-Z","tBodyAccJerk-mean()-X","tBodyAccJerk-mean()-Z","tBodyAccJerk-std()-X","tBodyAccJerk-std()-Z","tBodyGyro-mean()-X","tBodyGyro-mean()-Z","tBodyGyro-std()-X","tBodyGyro-std()-Z","tBodyGyroJerk-mean()-X","tBodyGyroJerk-mean()-Z","tBodyGyroJerk-std()-X","tBodyGyroJerk-std()-Z","tBodyAccMag-mean()","tBodyAccMag-std()","tBodyAccJerkMag-mean()","tBodyAccJerkMag-std()","tBodyGyroJerkMag-mean()","tBodyGyroJerkMag-std()","fBodyAcc-mean()-Y","fBodyAcc-std()-Y","fBodyAcc-meanFreq()-Y","fBodyAccJerk-mean()-X","fBodyAccJerk-mean()-Z","fBodyAccJerk-std()-X","fBodyAccJerk-std()-Z","fBodyAccJerk-meanFreq()-X","fBodyAccJerk-meanFreq()-Z","fBodyGyro-mean()-Y","fBodyGyro-std()-Y","fBodyGyro-meanFreq()-Y","fBodyAccMag-mean()","fBodyAccMag-std()","fBodyAccMag-meanFreq()","fBodyBodyGyroMag-mean()","fBodyBodyGyroMag-std()","fBodyBodyGyroMag-meanFreq()"
"80",2,1,0.20396243,-0.096881229,-0.46550359,-0.45510762,0.91990897,0.019693368,-0.95363666,-0.97638778,-0.076950116,0.17866917,-0.36921663,-0.67787086,-0.27833413,0.081746263,-0.61468318,-0.49999531,-0.056789178,0.11923738,-0.54265928,-0.56307338,-0.35642995,-0.44353865,-0.3907957,-0.31796451,-0.6523754,-0.70572975,-0.12099094,-0.26679379,0.1113779,-0.35101722,-0.64843474,-0.44959647,-0.70533045,-0.16194446,-0.3391154,-0.56839968,-0.53129687,-0.20345707,-0.36829615,-0.57722126,0.1631072,-0.57433174,-0.60384393,0.018515286
"81",2,1,0.24934321,-0.056041574,-0.39947643,-0.46127072,0.91317298,0.024970325,-0.96968371,-0.96882462,0.1098415,0.38010598,-0.25739068,-0.66325596,-0.14838291,0.12586574,-0.60303438,-0.48940637,-0.029430958,-0.20540482,-0.53420168,-0.58081542,-0.29560789,-0.43868662,-0.29461029,-0.24507369,-0.63826673,-0.6918202,-0.10515758,-0.2104984,0.15124146,-0.28937293,-0.62370188,-0.28941465,-0.70158381,0.016530028,-0.23335289,-0.58810127,-0.52298361,-0.28658152,-0.37184739,-0.56717287,0.3896888,-0.63301733,-0.65248835,0.19614713
"82",2,1,0.32505052,-0.077847175,-0.46511952,-0.36764586,0.92082397,0.03009841,-0.96114454,-0.97036801,0.20181144,-0.22104489,-0.33348001,-0.58652675,-0.014336966,0.10618778,-0.59401298,-0.50977172,0.11516924,-0.19210464,-0.53188264,-0.53689975,-0.27755891,-0.41638152,-0.26769037,-0.12095298,-0.64125343,-0.69026657,0.085947527,-0.092325252,0.21233756,-0.33229002,-0.53200273,-0.39614658,-0.64092238,0.010343934,-0.3439072,-0.56830414,-0.55240322,-0.059120666,-0.29947596,-0.58529069,0.42842446,-0.57112952,-0.71593281,0.25003826
"83",2,1,0.30880812,-0.13210431,-0.51482627,-0.34900284,0.9248589,0.02681797,-0.97876714,-0.95874721,-0.15781456,-0.23184476,-0.42708065,-0.57454534,0.029505787,0.10634994,-0.58670423,-0.55344291,-0.018204395,-0.015335425,-0.51628673,-0.55007008,-0.29128626,-0.44905304,-0.31774429,-0.17613586,-0.64491506,-0.68108841,0.11674499,-0.08238244,0.21076411,-0.45025176,-0.53902331,-0.45338662,-0.60763476,0.095160983,-0.13002054,-0.5901952,-0.50994235,-0.25823585,-0.33121193,-0.61447491,0.45405713,-0.56628738,-0.65519604,0.13822018
"84",2,1,0.26559921,-0.12074953,-0.50094969,-0.38942774,0.92575074,0.021833768,-0.97055292,-0.98224761,0.036206388,0.006147979,-0.44003795,-0.62169026,0.025049675,0.098842885,-0.61504471,-0.58332377,-0.12800282,0.0078890224,-0.51039692,-0.6185257,-0.34393842,-0.51999786,-0.39977024,-0.4160981,-0.66086041,-0.69819388,-0.15558233,-0.22012425,-0.010582267,-0.45000061,-0.60424239,-0.47989908,-0.63655706,-0.078298786,-0.20162386,-0.57697756,-0.54522072,-0.028904514,-0.47527034,-0.62108306,0.33153399,-0.59540331,-0.64947211,0.20230245
"85",2,1,0.18741915,-0.10650963,-0.45085366,-0.45986952,0.93036735,0.024936703,-0.96842823,-0.97750411,0.21662301,-0.094586394,-0.32592463,-0.63071448,0.022319945,0.11668942,-0.62641932,-0.52634411,-0.036961695,0.064177615,-0.55015946,-0.57243866,-0.33913225,-0.49456952,-0.36820031,-0.31012745,-0.65168663,-0.70796706,-0.16301751,-0.26556417,0.10466937,-0.32734734,-0.59966628,-0.38622569,-0.65950939,-0.096857897,-0.31400818,-0.60695751,-0.50927135,-0.30020336,-0.44004903,-0.60631309,0.22218981,-0.56836976,-0.69336454,0.23438607
"86",2,1,0.28420274,-0.11395407,-0.4186222,-0.48108057,0.9194876,0.027523213,-0.94250381,-0.98968003,0.31319683,-0.0594674,-0.25325547,-0.61917017,0.001944971,0.10358237,-0.64040169,-0.4718244,-0.28411158,-0.205848,-0.57353951,-0.51453727,-0.32871571,-0.47067775,-0.32261213,-0.24570533,-0.63859884,-0.72779504,-0.1379046,-0.29800695,0.065954285,-0.26733094,-0.58220723,-0.3055849,-0.6541855,-0.053418014,-0.15767477,-0.60920893,-0.55024786,-0.28845374,-0.40946333,-0.59051964,0.21362786,-0.62986279,-0.71571945,0.23944663
"87",2,1,0.35782982,-0.13127164,-0.45242107,-0.4016534,0.91756393,0.024733323,-0.95464413,-0.97722989,0.16704118,-0.020395044,-0.2847004,-0.60075293,-0.024701871,0.027595983,-0.6313242,-0.44940472,-0.20907605,-0.26617905,-0.49606895,-0.49299075,-0.32195911,-0.45233848,-0.31568134,-0.26600811,-0.62051582,-0.71246138,-0.12004377,-0.21995792,0.18200189,-0.31005268,-0.56152229,-0.32155429,-0.63813171,-0.16451538,-0.36516756,-0.62322678,-0.6011945,-0.048505505,-0.39103123,-0.57498276,0.21766844,-0.61914444,-0.72810446,0.33532873
"88",2,1,0.31870911,-0.13241984,-0.4857706,-0.37994246,0.92590036,0.023588684,-0.98140199,-0.97813168,-0.067741065,0.063997437,-0.35582645,-0.591553,-0.048763033,0.039371294,-0.6190398,-0.47778854,-0.13998645,0.15146806,-0.46305101,-0.50864434,-0.33016333,-0.45187902,-0.34419414,-0.23879917,-0.6188359,-0.66586292,-0.12880648,-0.16647891,0.052715646,-0.40554849,-0.56492863,-0.36073905,-0.61557638,-0.056220379,-0.12916348,-0.5832241,-0.56087454,-0.054970417,-0.39893103,-0.56893256,0.37484549,-0.60227161,-0.70620681,0.31137075
"89",2,1,0.32008469,-0.12170815,-0.50869464,-0.42732416,0.92559833,0.02382803,-0.98668843,-0.9822987,-0.055432298,0.097897777,-0.39427008,-0.62784783,-0.071627745,0.099730883,-0.53605042,-0.53246446,-0.19454689,0.087138775,-0.49143669,-0.55600478,-0.36824597,-0.45085553,-0.3780273,-0.21220632,-0.65155773,-0.67259673,-0.087528746,-0.23064495,0.23438067,-0.38782903,-0.5897213,-0.45759119,-0.66429029,0.036576435,-0.28305813,-0.64387085,-0.50548667,-0.31193459,-0.36110946,-0.5937211,0.40403407,-0.58803486,-0.6442259,0.081373503
"90",2,1,0.19317016,-0.088769599,-0.45619042,-0.42346766,0.92793552,0.022825926,-0.98636166,-0.97486463,0.016393755,0.29978247,-0.34987239,-0.63003224,-0.044221774,0.12932754,-0.50383089,-0.46184467,-0.027231494,-0.046723193,-0.50954259,-0.51615721,-0.31979196,-0.44368488,-0.3472925,-0.22987747,-0.64074418,-0.68291115,-0.063848939,-0.19504585,0.029425315,-0.36320976,-0.58272251,-0.3941929,-0.67684678,-0.14842597,-0.4746653,-0.59545329,-0.49138899,-0.25649515,-0.35143601,-0.58948303,0.33237685,-0.54516094,-0.61181519,-0.027201905
"91",2,1,0.19471487,-0.049544661,-0.43733437,-0.33753382,0.92382126,0.026442976,-0.96381026,-0.96493235,0.18390239,0.045031719,-0.36092551,-0.52993581,-0.039110869,0.081326825,-0.54639156,-0.40604902,0.033699583,-0.015899638,-0.44692444,-0.42748467,-0.27982595,-0.43738301,-0.25896599,-0.23200899,-0.57512019,-0.60196087,-0.040348128,-0.18485103,0.18182664,-0.34225479,-0.5027247,-0.44254074,-0.5543818,0.15900235,-0.070595231,-0.56002487,-0.4863298,0.088481309,-0.30654153,-0.61477125,0.37606089,-0.4969372,-0.61311716,0.31431633
"92",2,1,0.34969095,-0.10829783,-0.43251962,-0.33723803,0.91229101,0.028520145,-0.96068388,-0.97999042,0.078867192,-0.22244629,-0.3166973,-0.53228897,-0.05568188,0.043130317,-0.54464723,-0.45842506,0.011653941,-0.19959875,-0.37387191,-0.43958009,-0.28918183,-0.40656078,-0.2352392,-0.20040076,-0.54820202,-0.57280162,0.011915988,-0.23432837,0.41109796,-0.33690219,-0.50166692,-0.35628231,-0.56021554,-0.073706086,-0.16685013,-0.54581512,-0.52052147,-0.073174717,-0.24512449,-0.61424602,0.35793288,-0.45432393,-0.62000951,0.2939587
"93",2,1,0.30870458,-0.1238269,-0.40927888,-0.43056196,0.92038307,0.024102024,-0.93400525,-0.97467581,-0.125362,-0.096186955,-0.26040101,-0.60298513,0.0029080244,0.087446841,-0.57359477,-0.51395,-0.0957022,-0.10559906,-0.41089026,-0.5147838,-0.30398572,-0.45172781,-0.29130408,-0.22857044,-0.59628528,-0.61774919,-0.11195536,-0.25184502,0.24187721,-0.31897449,-0.53090295,-0.26461374,-0.67948053,-0.24006512,-0.14098362,-0.56662232,-0.52521323,-0.17238478,-0.34422767,-0.60807077,0.34145033,-0.5240966,-0.63075032,0.20005578
"94",2,1,0.21102476,-0.096443768,-0.44507331,-0.47564538,0.93501171,0.027762863,-0.98483097,-0.95481318,0.13731322,0.053209195,-0.30989152,-0.61762581,0.028731767,0.14961925,-0.61753927,-0.47151723,-0.13076466,0.065107825,-0.50290658,-0.55697225,-0.34035128,-0.50300025,-0.35360537,-0.26290785,-0.65195212,-0.67490435,-0.16502753,-0.28131606,0.26798535,-0.35244438,-0.58797745,-0.32611279,-0.64491885,-0.072792883,-0.31084593,-0.62283845,-0.54767497,-0.31139908,-0.40227928,-0.64768601,0.37967885,-0.57443708,-0.6905296,0.24404361
"95",2,1,0.29771925,-0.11438786,-0.42328085,-0.4015868,0.92339513,0.013877152,-0.95274418,-0.96712389,-0.053633405,-0.14453454,-0.33852253,-0.6351714,-0.3535482,0.047404204,-0.5947993,-0.56158443,-0.11776852,-0.2558424,-0.5344613,-0.59569421,-0.30975798,-0.47690441,-0.39321429,-0.33623732,-0.67390552,-0.7187459,-0.13368011,-0.27728094,0.095803252,-0.38417885,-0.60352071,-0.34905589,-0.66467672,-0.24311519,-0.35520549,-0.63777618,-0.49478555,-0.37650758,-0.42462429,-0.58980347,0.2048303,-0.55686219,-0.55265428,-0.14798586
"96",2,1,0.33314426,-0.12619938,-0.36324256,-0.39038358,0.91703645,0.015072697,-0.96241083,-0.97050983,-0.18236577,-0.054295248,-0.18188586,-0.58008748,-0.2063597,0.03570985,-0.59927987,-0.50830233,-0.10070225,0.029082868,-0.52796941,-0.54905781,-0.23978012,-0.44172461,-0.25024404,-0.22303219,-0.64019744,-0.71600554,-0.03733255,-0.18707856,-0.051349366,-0.29064433,-0.54070684,-0.14493051,-0.61745331,-0.22182088,-0.34409616,-0.57538577,-0.50788033,-0.26376907,-0.33592377,-0.59832529,0.36957195,-0.64604197,-0.66213719,0.16005345
"97",2,1,0.22981714,-0.082070626,-0.36385083,-0.4022629,0.91511272,0.020471249,-0.97895151,-0.97511921,0.17030046,0.23890038,-0.22790483,-0.58382785,-0.10918895,0.1152772,-0.55526814,-0.49685308,-0.10536905,0.13255358,-0.50312014,-0.51594059,-0.23019556,-0.49046433,-0.26629944,-0.26654742,-0.62021606,-0.69499883,-0.054164977,-0.15914721,0.20221034,-0.26368697,-0.5518004,-0.2585656,-0.61341654,-0.16210191,-0.27228535,-0.59025668,-0.46598435,-0.33288044,-0.37143485,-0.65181305,0.46286991,-0.58004834,-0.62901901,0.062234078
"98",2,1,0.23748279,-0.048945315,-0.41352818,-0.41275989,0.91791373,0.02936331,-0.98999824,-0.94916322,0.46171601,0.0091505425,-0.38373187,-0.58397619,-0.029034383,0.12606256,-0.56005653,-0.54770945,0.15615696,0.034328779,-0.49375107,-0.53086161,-0.28585082,-0.51915064,-0.3519543,-0.36888073,-0.62641067,-0.67927808,-0.136345,-0.23687439,0.11799774,-0.40868381,-0.54135687,-0.41205704,-0.62488227,-0.1721068,-0.24584873,-0.59481572,-0.50622863,-0.22975559,-0.42808333,-0.65393685,0.29847079,-0.57534385,-0.61629345,0.10768228
"99",2,1,0.33150518,-0.10886677,-0.4146128,-0.4266315,0.91867588,0.034632273,-0.9873086,-0.97261154,0.059344519,-0.20627532,-0.28459729,-0.63011412,2.423013e-05,0.10003189,-0.61644788,-0.55276038,0.072588187,-0.088360509,-0.48395527,-0.56505144,-0.30705654,-0.43908817,-0.30254147,-0.26768952,-0.62875518,-0.68648643,-0.082910054,-0.25869871,0.23599044,-0.31098639,-0.62394855,-0.32031652,-0.63428674,-0.11211924,-0.41618032,-0.61578338,-0.53306837,-0.27165554,-0.373438,-0.56668953,0.27240738,-0.58800118,-0.66812492,0.062837811
"100",2,1,0.26663115,-0.14096216,-0.43377813,-0.41532479,0.91969806,0.028757953,-0.98991992,-0.9608673,-0.19033716,-0.13423855,-0.30064632,-0.63386282,0.021095918,0.079617546,-0.58459495,-0.51378667,-0.10356989,-0.18092303,-0.43683971,-0.55914868,-0.30676319,-0.41030391,-0.3097675,-0.17049626,-0.62167293,-0.67550403,-0.032724024,-0.19812091,0.11588121,-0.31899823,-0.58032903,-0.343801,-0.68806549,-0.15051128,-0.33255204,-0.56881329,-0.53195591,-0.26038243,-0.35651805,-0.53424141,0.37325972,-0.57958118,-0.64919079,0.089060102
"101",2,1,0.24042087,-0.11888144,-0.4333206,-0.39734057,0.91880373,0.023289529,-0.98868188,-0.97528476,0.097059424,0.17005394,-0.29554297,-0.59671071,0.023527608,0.11124867,-0.55491993,-0.51301861,-0.18774428,0.063810809,-0.45848865,-0.61377927,-0.29734115,-0.42895452,-0.32370844,-0.13166261,-0.63319332,-0.68112708,-0.05344303,-0.17976544,0.18644497,-0.31830435,-0.55297127,-0.33425488,-0.63900985,-0.13842892,-0.48604047,-0.60573635,-0.50041274,-0.31908176,-0.34492915,-0.57103699,0.27013392,-0.58143931,-0.64377465,0.14978806
"102",2,1,0.29112809,-0.10429218,-0.40452582,-0.4314133,0.92053299,0.022932528,-0.98617097,-0.9831076,0.32153859,-0.047846083,-0.22716378,-0.60909497,0.0012047073,0.095014863,-0.59934743,-0.50511621,-0.30832968,-0.15901614,-0.51593728,-0.5568316,-0.29433279,-0.43716294,-0.29885768,-0.15495062,-0.62472881,-0.67326416,-0.12161534,-0.20426461,0.033638783,-0.27618096,-0.57928451,-0.24395256,-0.63649332,-0.056746435,-0.27761665,-0.58363739,-0.52248447,-0.20008349,-0.31885191,-0.60456552,0.33604315,-0.58522801,-0.68924577,0.27148563
"103",2,1,0.35552927,-0.12723972,-0.4094154,-0.43723441,0.91832348,0.023607305,-0.98073368,-0.98222799,0.27574474,-0.16941256,-0.2232972,-0.65061248,-0.020992976,0.019097657,-0.57930037,-0.47315495,-0.19938461,-0.08351093,-0.53343275,-0.51592224,-0.30302458,-0.4581262,-0.32072101,-0.2446018,-0.61996538,-0.69396839,-0.15353147,-0.22892367,-0.027730477,-0.23277808,-0.64810869,-0.28363665,-0.65139904,-0.030025221,-0.4223054,-0.57744683,-0.53659853,-0.03828907,-0.37557211,-0.59499256,0.353453,-0.57877981,-0.6928708,0.22584703
"104",2,1,0.28744253,-0.13274829,-0.39217785,-0.40340864,0.92162708,0.023925932,-0.96332837,-0.98575111,-0.29607683,0.26698337,-0.199218,-0.63277534,-0.054718244,0.075091803,-0.55631884,-0.47278342,-0.043124076,0.095989614,-0.49729386,-0.52775722,-0.2773393,-0.42305286,-0.28934742,-0.1923538,-0.6122662,-0.68541238,-0.073474643,-0.2111129,0.057734082,-0.20417442,-0.61106236,-0.26702472,-0.65199125,-0.0050986983,-0.50805549,-0.58591859,-0.49875997,-0.3095367,-0.34426555,-0.56224364,0.30963316,-0.58835017,-0.67252974,0.088470495
